ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_84_28_100,x1-x2+x2*(-x1-x2+x2/x1)/x1,0,2.819868803,"sub,add,x1,mul,div,x2,x1,sub,x1,add,add,sub,x1,div,x2,x1,x1,x2,x2"
sogn_s_84_29_100,x1-x2-(1+(x1+x2**2)/x2)/x2**2,0,2.793534517,"sub,x1,add,div,div,mul,div,add,div,x2,x2,div,add,x1,mul,x2,x2,x2,x1,x1,x2,x2,x2"
sogn_s_84_30_100,x1-x2+(x1+(-x1+x2)/(x1*x2))/x1,0,2.819030523,"sub,add,mul,add,div,sub,x2,x1,mul,x1,x2,x1,div,x1,mul,x1,x1,x1,x2"
sogn_s_84_31_100,x1-x2-(x1/x2-x2)/x1,0,2.838366508,"sub,sub,mul,div,x1,x1,x1,div,sub,div,mul,x2,x1,mul,x2,x2,x2,x1,x2"
sogn_s_84_32_100,x1-x2,1,2.853496552,"sub,x2,add,x2,sub,x2,x1"
sogn_s_84_33_100,x1-x2,1,2.900225163,"mul,sub,sub,x2,div,x1,x1,x2,sub,x2,x1"
sogn_s_84_34_100,x1-x2,1,2.756572247,"sub,x1,sub,x2,mul,x2,div,sub,x1,x1,add,add,x1,x1,x2"
sogn_s_84_35_100,x1+x2/(-x1+3*x2),0,2.819495678,"add,x1,mul,x2,div,x2,mul,add,sub,add,x2,x2,x1,x2,x2"
sogn_s_84_36_100,x1-x2-x2/(x1*(2*x2-x2/x1**2)),0,2.81216836,"sub,sub,x1,x2,div,x2,mul,sub,add,add,sub,x2,div,div,x2,x1,x1,x1,x2,x1,x1"
sogn_s_84_37_100,(x1**2*(x1-x2)+x2)/x1**2,0,2.804478407,"div,add,x2,mul,sub,add,sub,x1,x2,x2,x2,mul,x1,x1,mul,x1,x1"
sogn_s_84_38_100,x1+x1/(2*x2*(-x1*x2+x2)),0,2.848781347,"add,x1,mul,x2,div,x1,mul,mul,sub,x2,mul,x2,x1,x2,add,x2,x2"
